,ticker,date,open,high,low,close
0,BA,2024-05-14,180.2300,183.6600,179.6300,180.7600
1,BA,2024-05-13,179.0400,180.7500,178.0700,178.4400
2,BA,2024-05-10,181.2500,181.8800,177.9200,178.5100
3,BA,2024-05-09,179.5500,181.7500,179.3100,181.2500
4,BA,2024-05-08,175.9500,181.6600,175.9500,180.3500
5,BA,2024-05-07,177.2200,178.3500,176.1300,176.7100
6,BA,2024-05-06,180.8800,183.9800,174.7100,178.3500
7,BA,2024-05-03,179.5900,180.4900,177.9000,179.7900
8,BA,2024-05-02,173.0000,178.9000,172.2501,178.8500
9,BA,2024-05-01,167.5000,173.8600,167.5000,171.4600
10,BA,2024-04-30,171.4900,174.0700,167.7600,167.8400
11,BA,2024-04-29,167.9000,173.8100,167.5500,173.4900
12,BA,2024-04-26,165.9800,168.6500,164.9300,167.2200
13,BA,2024-04-25,163.5900,168.1300,159.7000,166.8100
14,BA,2024-04-24,176.5000,177.6400,162.7400,164.3300
15,BA,2024-04-23,170.9500,171.1800,168.4300,169.1800
16,BA,2024-04-22,169.8200,172.1500,168.1600,170.4800
17,BA,2024-04-19,170.0000,172.0000,169.6500,169.8200
18,BA,2024-04-18,169.4800,172.0400,169.0950,170.2300
19,BA,2024-04-17,170.0000,170.8500,168.1215,170.2100
20,BA,2024-04-16,168.1400,170.6400,167.7500,170.5500
21,BA,2024-04-15,170.7400,171.1800,167.5300,167.8200
22,BA,2024-04-12,172.2000,173.2400,169.3700,169.5500
23,BA,2024-04-11,174.4700,174.7000,171.3800,173.3600
24,BA,2024-04-10,176.3100,178.1000,172.4400,174.6300
25,BA,2024-04-09,181.5100,183.0500,176.5700,178.1200
26,BA,2024-04-08,182.1400,184.5500,181.4900,181.5600
27,BA,2024-04-05,184.1600,184.6600,182.4400,183.1400
28,BA,2024-04-04,185.9300,188.0000,182.8100,183.2900
29,BA,2024-04-03,187.6800,188.7800,184.2700,184.9200
30,BA,2024-04-02,189.0000,189.2300,187.1300,188.0400
31,BA,2024-04-01,192.2400,192.8673,189.0300,189.5000
32,BA,2024-03-28,192.0000,193.3800,191.2000,192.9900
33,BA,2024-03-27,188.8400,191.9900,188.3300,191.9500
34,BA,2024-03-26,192.0200,192.0300,186.8100,187.5000
35,BA,2024-03-25,196.0100,196.1800,189.5001,191.4100
36,BA,2024-03-22,188.7500,192.9400,188.1900,188.8500
37,BA,2024-03-21,189.7900,190.3843,187.5500,187.7000
38,BA,2024-03-20,178.9900,188.2970,178.6000,187.7800
39,BA,2024-03-19,180.1100,181.8600,179.7350,181.1400
40,BA,2024-03-18,180.2600,181.1900,177.5194,179.8400
41,BA,2024-03-15,180.9900,184.1800,180.9100,182.5300
42,BA,2024-03-14,182.0000,184.9399,180.5200,181.1500
43,BA,2024-03-13,183.1600,185.9700,182.0800,182.3500
44,BA,2024-03-12,188.2350,188.5800,183.1600,184.2400
45,BA,2024-03-11,194.2100,196.0700,189.8000,192.4900
46,BA,2024-03-08,201.8400,203.8000,198.4600,198.4900
47,BA,2024-03-07,200.7000,203.7300,200.5700,203.0300
48,BA,2024-03-06,201.7700,202.3450,199.8601,201.0000
49,BA,2024-03-05,199.4900,202.8500,198.7000,201.1400
50,BA,2024-03-04,199.5000,201.5400,196.9200,200.5400
51,BA,2024-03-01,204.0000,205.0600,199.0100,200.0000
52,BA,2024-02-29,206.4400,206.6150,202.7043,203.7200
53,BA,2024-02-28,201.1400,208.1000,200.1800,207.0000
54,BA,2024-02-27,200.9300,202.0000,200.0400,201.4000
55,BA,2024-02-26,201.0100,202.7500,200.0000,200.5400
56,BA,2024-02-23,200.9900,202.0700,197.1500,200.8300
57,BA,2024-02-22,202.0000,204.0970,200.4000,201.5000
58,BA,2024-02-21,202.9000,203.6322,201.2100,201.5700
59,BA,2024-02-20,203.5500,205.5800,202.7100,203.3700
60,BA,2024-02-16,204.8800,205.0500,202.8100,203.8900
61,BA,2024-02-15,204.1200,206.5500,203.4000,205.3300
62,BA,2024-02-14,205.9500,206.5800,202.2100,203.3800
63,BA,2024-02-13,206.9000,207.8100,202.3300,204.4600
64,BA,2024-02-12,208.7000,209.8000,207.6000,209.3300
65,BA,2024-02-09,209.7700,211.4400,207.9000,209.2000
66,BA,2024-02-08,212.4000,213.1000,208.7200,209.2200
67,BA,2024-02-07,208.7600,213.7700,207.9900,211.9200
68,BA,2024-02-06,206.0200,210.6399,203.8900,208.5800
69,BA,2024-02-05,204.6400,207.3400,202.0000,206.6300
70,BA,2024-02-02,209.0600,209.5400,206.3501,209.3800
71,BA,2024-02-01,213.8400,214.6324,206.8100,209.8100
72,BA,2024-01-31,204.9200,213.7700,203.2500,211.0400
73,BA,2024-01-30,203.6500,203.9800,199.1400,200.4400
74,BA,2024-01-29,206.0600,207.0400,203.8500,205.1900
75,BA,2024-01-26,203.0800,206.7500,203.0000,205.4700
76,BA,2024-01-25,208.2000,208.7300,198.3200,201.8800
77,BA,2024-01-24,209.8300,217.5900,209.3550,214.1300
78,BA,2024-01-23,215.3500,216.8500,211.1300,211.5000
79,BA,2024-01-22,213.0700,217.0000,212.3600,214.9300
80,BA,2024-01-19,210.8900,215.1600,209.2300,215.0200
81,BA,2024-01-18,205.6400,213.0400,203.3150,211.6100
82,BA,2024-01-17,202.6300,206.3000,201.6500,203.0600
83,BA,2024-01-16,210.0700,210.9800,199.5000,200.5200
84,BA,2024-01-12,219.9700,222.0700,217.0400,217.7000
85,BA,2024-01-11,228.0700,228.2800,222.6200,222.6600
86,BA,2024-01-10,226.9000,231.6099,226.6400,227.8400
87,BA,2024-01-09,225.6600,228.7899,223.2000,225.7600
88,BA,2024-01-08,228.0000,233.8500,225.7900,229.0000
89,BA,2024-01-05,245.0400,250.1900,245.0400,249.0000
90,BA,2024-01-04,244.5800,248.2800,244.1800,244.9400
91,BA,2024-01-03,248.3200,250.1300,243.0000,243.9100
92,BA,2024-01-02,257.2800,258.5900,250.8700,251.7600
93,BA,2023-12-29,260.6700,262.2200,259.5613,260.6600
94,BA,2023-12-28,261.5300,262.1000,257.6800,260.3500
95,BA,2023-12-27,262.6300,264.6600,260.9000,262.1000
96,BA,2023-12-26,259.8000,263.7599,259.5400,262.7900
97,BA,2023-12-22,261.8300,262.8424,259.2000,260.4400
98,BA,2023-12-21,265.9500,267.5400,260.1900,262.0200
99,BA,2023-12-20,262.2500,266.1298,260.1500,260.2500
100,BA,2023-12-19,261.0400,265.3400,260.8001,263.5100
101,BA,2023-12-18,260.6300,263.1300,260.2500,260.4100
102,BA,2023-12-15,255.7000,265.5200,255.7000,264.2700
103,BA,2023-12-14,250.9100,257.1200,249.2600,256.2400
104,BA,2023-12-13,249.1000,251.8700,247.5316,250.9100
105,BA,2023-12-12,247.9500,250.5686,247.4000,248.6300
106,BA,2023-12-11,243.5000,248.0800,243.3100,248.0800
107,BA,2023-12-08,237.3200,244.7000,237.3200,244.7000
